262 582
363 576
122 420
259 744
212 712
262 824
17 773
63 469
404 894
367 859
103 739
49 650
363 848
368 650
98 773
163 565
368 819
98 876
348 619
17 876
197 755
209 472
349 465
193 538
363 722
363 824
270 432
212 712
104 540
10 859
323 679
225 652
363 848
304 546
203 576
106 565
103 744
349 465
167 572
250 824
159 523
147 548
292 859
169 520
270 432
291 687
118 860
34 417
368 817
169 599
212 586
9 523
9 519
278 565
268 518
262 713
9 545
436 824
106 824
220 824
172 848
9 597
68 555
49 808
212 488
212 586
258 834
225 411
355 894
220 824
104 568
132 841
287 773
85 677
195 894
159 523
65 540
177 877
345 803
104 773
220 824
63 894
192 540
452 850
85 445
263 493
147 718
169 544
278 609
217 612
436 786
52 817
262 561
10 810
13 547
315 881
278 894
45 490
205 829
85 894
246 648
104 540
278 587
436 474
167 465
236 894
104 424
163 523
370 584
315 565
390 735
231 545
335 723
230 480
259 744
383 563
195 894
159 894
228 685
436 764
436 588
726 548
366 698
86 903
228 685
187 881
105 485
296 436
278 824
112 418
220 492
66 566
398 460
234 540
256 545
261 480
152 417
104 727
225 422
80 583
65 835
278 714
57 848
208 855
245 620
403 556
154 656
406 648
300 545
328 655
108 589
151 714
302 704
172 659
116 841
195 475
275 831
133 832
104 697
315 468
386 442
28 426
183 675
278 894
36 810
363 848
217 665
43 657
317 815
366 632
60 833
174 509
259 733
155 545
204 753
301 620
108 448
85 744
89 508
302 608
347 538
52 495
56 711
235 523
75 611
256 545
323 687
124 807
386 660
224 769
50 892
343 565
139 714
213 728
187 714
317 815
355 894
285 861
132 778
104 723
170 771
726 792
726 726
374 861
429 805
191 687
125 739
406 748
342 873
7 549
81 492
106 545
273 492
57 779
85 837
324 741
165 836
278 714
132 878
200 861
317 815
10 851
125 602
9 714
452 452
98 876
84 419
175 841
293 529
60 882
344 411
284 565
726 726
134 630
278 630
188 896
360 492
235 666
38 561
248 484
7 687
220 492
360 881
329 765
89 557
213 454
236 723
158 576
346 875
221 667
70 453
395 829
392 718
50 848
257 896
638 714
281 876
384 809
67 802
130 898
23 463
11 803
352 673
196 859
278 714
278 715
20 667
407 416
52 687
305 577
11 803
243 435
47 834
395 533
37 728
31 636
35 900
12 466
7 631
250 657
50 673
239 762
86 821
195 475
50 768
371 761
330 887
281 704
392 687
132 686
153 676
250 896
159 888
106 545
220 492
276 834
52 687
156 635
399 511
222 896
129 425
101 491
262 561
141 709
204 672
172 659
4 882
4 882
118 878
186 760
370 741
343 581
2 701
240 539
317 841
341 865
113 601
429 880
20 545
26 765
118 691
63 611
246 655
278 645
189 739
204 672
117 492
192 613
109 461
252 847
343 568
545 545
358 861
429 876
94 667
89 425
71 448
306 462
392 492
344 480
312 428
686 773
353 657
247 514
135 554
95 815
726 726
276 845
144 866
245 620
395 829
99 695
160 728
343 684
118 613
299 682
101 889
182 417
187 492
64 887
140 794
281 852
726 451
29 858
6 742
393 887
231 540
91 611
244 621
161 622
90 543
365 531
11 483
278 803
339 507
405 550
142 856
274 688
268 518
88 629
395 641
320 707
334 476
328 720
172 634
119 757
62 838
287 600
34 714
252 635
196 848
400 521
86 658
369 643
26 687
8 862
74 731
86 579
278 736
47 741
178 501
287 600
317 815
176 814
297 534
391 825
353 486
326 425
399 413
48 897
87 680
9 443
155 517
716 716
156 646
149 754
74 450
30 414
173 482
436 841
254 515
327 613
215 580
340 547
343 633
276 745
322 726
54 532
127 849
137 848
227 603
0 504
157 843
168 578
201 842
326 425
148 543
3 740
187 881
179 532
226 411
63 469
295 655
220 638
238 482
359 890
314 555
406 763
364 879
